ticket_number,date,time,article,Quantity,unit_price_euro
150045,02/01/2021,09:32:00,TRADITIONAL BAGUETTE,3,1.2
150046,02/01/2021,09:37:00,  TRADITIONAL BAGUETTE  ,6,1.2
150049,02/01/2021,00:00:00,CROISSANT,2,
150049,02/01/2021,9:37 AM,TRADITIONAL BAGUETTE,1,1.2
150051,02/01/2021,09:46:00,PAIN,1,"1,15"
150052,02/01/2021,09:48:00,SPECIAL BREAD,1,2.4
150054,02/01/2021,09:49:00,KOUIGN AMANN,1,2.1
150055,02/01/2021,09:57:00,TRADITIONAL BAGUETTE,4,1.2
150056,02/01/2021,09:58:00,BANETTE,3,1.05
150058,02/01/2021,10:03:00,CROISSANT,2,1.1
150058,02/01/2021,10:03:00,PAIN AU CHOCOLAT,2,"1,2"
150059,02/01/2021,10:04:00,TRADITIONAL BAGUETTE,4,1.2
150060,02/01/2021,10:05:00,TRADITIONAL BAGUETTE,4,1.2
150061,02/01/2021,10:12:00,SPECIAL BREAD,1,2.4
150062,02/01/2021,10:17:00,SPECIAL BREAD,1,2.4
150063,02/01/2021,10:18:00,TRADITIONAL BAGUETTE,2,1.2
150063,02/01/2021,10:18:00,GAL FRANGIPANE 6P,1,12
150063,02/01/2021,10:18:00,MOISSON,1,2
150063,02/01/2021,10:18:00,COUPE,1,0.15
150065,02/01/2021,10:22:00,SAND JB EMMENTAL,1,3.5
150066,02/01/2021,10:24:00,BAGUETTE,1,0.9
150066,02/01/2021,10:24:00,PAIN AU CHOCOLAT,2,1.2
150066,02/01/2021,10:24:00,TRADITIONAL BAGUETTE,1,1.2
150066,02/01/2021,10:24:00,CROISSANT,2,1.1
150069,02/01/2021,10:29:00,KOUIGN AMANN,2,2.1
150070,02/01/2021,10:33:00,BANETTE,1,1.05
150070,02/01/2021,10:33:00,PAIN AU CHOCOLAT,2,1.2
150071,02/01/2021,9:37 AM,CROISSANT,2,1.1
150071,02/01/2021,10:34:00,TRADITIONAL BAGUETTE,2,1.2
150074,02/01/2021,10:42:00,BANETTINE,1,0.6
150075,02/01/2021,10:44:00,COUPE,1,0.15
150075,02/01/2021,10:44:00,SEIGLE,1,1.8
150076,02/01/2021,00:00:00,TRADITIONAL BAGUETTE,2,1.2
150077,02/01/2021,10:49:00,PAIN AU CHOCOLAT,2,1.2
150078,02/01/2021,10:50:00,TRADITIONAL BAGUETTE,1,1.2
150079,02/01/2021,10:51:00,GAL FRANGIPANE 4P,1,8
150079,01/02/2021,10:51:00,SPECIAL BREAD,1,2.4
150081,02/01/2021,10:54:00,TRADITIONAL BAGUETTE,1,1.2
150082,02/01/2021,10:54:00,TRADITIONAL BAGUETTE,4,1.2
150083,02/01/2021,10:54:00,TRADITIONAL BAGUETTE,1,1.2
150084,02/01/2021,10:55:00,PAIN AU CHOCOLAT,4,1.2
150084,02/01/2021,10:55:00,COOKIE,1,1
150084,02/01/2021,10:55:00,CEREAL BAGUETTE,1,€ 1.25
150085,02/01/2021,10:56:00,TRADITIONAL BAGUETTE,4,1.2
150086,02/01/2021,10:57:00,CROISSANT,2,1.1
150086,02/01/2021,10:57:00,PAIN AU CHOCOLAT,1,1.2
150086,02/01/2021,10:57:00,CEREAL BAGUETTE,1,1.25
150088,02/01/2021,11:04:00,TRADITIONAL BAGUETTE,2,1.2
150089,02/01/2021,11:06:00,BAGUETTE,1,0.9
150090,02/01/2021,11:08:00,TRADITIONAL BAGUETTE,2,1.2
150090,02/01/2021,11:08:00,CROISSANT,1,1.1
150091,02/01/2021,11:13:00,TRADITIONAL BAGUETTE,5,1.2
150091,02/01/2021,11:13:00,BRIOCHE,1,5
150091,02/01/2021,11:13:00,SEIGLE,1,1.8
150092,02/01/2021,11:14:00,CROISSANT,6,1.1
150093,02/01/2021,11:14:00,FICELLE,1,0.6
150093,02/01/2021,11:14:00,TRADITIONAL BAGUETTE,1,1.2
150094,02/01/2021,11:15:00,BANETTE,5,1.05
150095,02/01/2021,11:16:00,CROISSANT,2,1.1
150095,02/01/2021,11:16:00,PAIN AUX RAISINS,1,1.4
150095,02/01/2021,11:16:00,PAIN AU CHOCOLAT,4,1.2
150098,02/01/2021,11:19:00,FICELLE,1,0.6
150098,02/01/2021,11:19:00,PAIN AU CHOCOLAT,1,1.2
150098,02/01/2021,11:19:00,CROISSANT,1,1.1
